Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
59141,"URGENT HOME HEALTH CARE, INC","17315 STUDEBAKER ROAD, SUITE 310",CERRITOS,CA,90703,548,279,20.0,9.7,8.0,0.0,0.1,2.0,0.2,1420171,1885963,1630752,1.2,32,11220,82,89,190,209,70,221,11,26,16,,,2.38,29,40,13,16,53,52,35,35,43,63,,63,13,54,9,15
59142,"US MEDTRADE HOME HEALTHCARE, INC","221 E GLENOAKS BLVD, SUITE 100",GLENDALE,CA,91207,288,162,18.7,12.2,4.7,1.0,0.0,0.7,0.1,720211,1127953,924933,4.8,,,76,57,105,44,118,40,85,,22,0,,2.07,9,25,13,15,52,36,31,36,57,,,72,17,,8,9
59143,"MARY'S HELP HOME HEALTH SERVICES, INC",2503 SPRINGS ROAD,VALLEJO,CA,94591,13,12,21.1,12.0,6.5,0.7,0.0,1.8,0.0,36360,56739,39898,0.0,0,,75,,,,,,,,,0,0,2.20,17,50,8,8,42,50,17,50,42,58,,42,8,50,17,25
59144,"ADOBE HOME HEALTH, INC","19045 PORTOLA DRIVE, SUITE E",SALINAS,CA,93908,137,119,11.8,7.0,4.5,0.0,0.2,0.0,0.0,251941,502556,348833,0.4,38,18858,75,52,67,48,71,44,,15,54,,,1.89,18,26,24,6,45,32,26,32,59,64,,45,24,55,7,13
59145,"AMERICAN HOME HEALTH CARE, LLC","39350 CIVIC CENTER DRIVE, SUITE 350",FREMONT,CA,94538,1017,805,14.1,7.4,4.8,0.9,0.1,0.8,0.2,2067569,4152589,2780467,0.1,135,74176,77,332,473,490,315,422,54,154,156,,,2.19,19,31,15,14,42,37,25,28,47,61,,52,15,54,6,13
59146,"HEALTHY WAY HOME HEALTH CARE, INC.","5032 LANKERSHIM BLVD., STE. 1",NORTH HOLLYWOOD,CA,91601,55,38,21.9,12.4,4.7,1.4,0.1,3.3,0.0,154795,227589,188009,4.3,0,,76,17,21,,,31,0,,,0,,1.92,0,50,24,16,34,18,39,47,53,,,58,13,,5,5
59147,"CARITAS HOME HEALTH PROVIDERS, INC",209 EAST ALAMEDA AVENUE #203,BURBANK,CA,91502,238,150,19.0,12.6,5.3,0.4,0.1,0.5,0.2,681169,952256,768736,6.5,12,4720,82,57,93,108,42,112,16,,13,0,,2.40,25,36,8,16,51,43,16,30,47,73,,65,18,56,9,15
59148,"B & F HOME HEALTH, INC",1638 EAST ARTESIA BLVD,LONG BEACH,CA,90805,109,53,13.2,10.1,2.9,0.0,0.0,0.0,0.1,194660,290718,249265,0.4,,,73,17,36,,,,20,,28,0,,2.22,8,11,36,13,43,38,53,32,64,64,,60,19,,8,4
59149,"CENTURY HOME HEALTHCARE, INC","17050 CHATSWORTH STREET, SUTE 215",GRANADA HILLS,CA,91344,208,71,13.6,10.6,1.8,0.6,0.1,0.5,0.1,431956,582648,491809,0.0,,,81,19,52,32,39,31,,,28,0,,2.82,23,56,27,14,52,56,34,48,63,69,,73,23,63,7,7
59150,"SUPREME HOME HEALTH SERVICES, INC","7334 TOPANGA CANYON BLVD, SUITE 111",CANOGA PARK,CA,91303,127,84,10.1,8.6,1.3,0.0,0.0,0.0,0.1,177860,356012,309570,0.1,,,67,31,53,,,,40,,37,0,0,1.92,6,15,42,6,29,36,32,39,63,56,,56,12,,11,4
59151,"GRACE HOME HEALTH CARE, LLC",917 WEST LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,252,171,15.9,10.9,3.8,0.2,0.0,0.7,0.2,931224,820586,684858,3.5,24,8767,76,63,108,50,121,45,,24,90,0,,2.87,18,36,10,11,40,52,25,33,60,64,,68,19,58,5,12
59152,"GRAPEVINE HOMECARE, INC","4032 WILSHIRE BLVD, SUITE 404",LOS ANGELES,CA,90010,510,274,16.3,13.1,3.1,0.0,0.0,0.0,0.1,1145304,1777154,1488742,3.1,,,84,78,196,11,263,11,,252,,0,,2.02,9,,14,5,35,40,14,32,71,69,,58,46,,19,7
59156,"EXCEED HOME HEALTH, INC","12500 RIVERSIDE DRIVE, SUITE 203",STUDIO CITY,CA,91607,17,12,20.2,12.5,5.3,0.8,0.0,1.2,0.3,41875,52678,44821,3.2,,,81,,,,,11,0,0,0,,,2.55,17,50,25,17,33,58,50,25,42,67,,50,50,67,0,33
59157,CONCIERGE HEALTH CARE SERVICES,"333 W SAN CARLOS STREET, SUITE 1680",SAN JOSE,CA,95110,14,11,13.7,9.1,1.4,0.5,0.0,2.6,0.1,48338,49121,31522,1.5,,,80,,,,,,0,0,,0,0,3.02,27,45,0,27,27,36,9,55,36,,,73,9,64,18,9
59158,"KOREAN TOWN HOME CARE, INC","3020 WILSHIRE BLVD, STE 156",EAST LOS ANGELES,CA,90022,109,69,17.1,14.5,1.8,0.0,0.0,0.8,0.0,254047,395971,315555,7.5,0,,77,23,46,,,,,59,,0,,1.83,6,38,14,4,20,23,16,22,71,68,,46,29,61,3,12
59159,MARE ISLAND HOME HEALTH INC,1555 TENNESSEE STREET,VALLEJO,CA,94590,329,276,14.9,7.1,4.5,1.1,0.1,1.9,0.2,632074,1261406,879445,0.1,31,16737,77,118,158,186,90,127,51,52,39,,,2.16,16,28,14,15,40,54,29,23,50,46,,48,13,38,7,14
59160,"EASTERN HOME HEALTH, INC","2463 W TORRANCE BLVD, STREET, SUITE C & D",TORRANCE,CA,90501,183,82,15.7,11.3,3.4,0.0,0.0,0.9,0.1,462615,592473,505282,2.0,,,72,25,57,,,11,,27,33,,,2.21,7,24,23,5,39,50,28,13,,,,60,28,66,7,16
59161,PROFESSIONAL NURSING INC,2110 NORTH GLENOAKS BOULEVARD,BURBANK,CA,91504,115,94,15.4,10.9,2.4,0.0,0.0,2.1,0.1,240202,352392,304143,0.0,,,80,35,59,17,77,77,,,,0,,2.56,17,46,15,12,51,45,22,45,60,,,,21,,12,9
59162,"DAN HOME HEALTH CARE, INC","735 WEST DUARTE RD, SUITE 408",ARCADIA,CA,91007,133,52,15.6,10.4,4.0,0.1,0.0,1.1,0.1,307246,417852,358650,0.3,0,,76,19,33,,,43,0,,,0,,1.91,17,37,19,13,54,29,21,48,69,,,,13,,6,6
59163,UNLIMITED HOMECARE SERVICES,"159 E HUNTINGTON DRIVE, UNIT 4",ARCADIA,CA,91006,193,71,18.5,12.3,2.7,0.0,0.1,3.4,0.0,477130,704086,593188,2.5,0,,81,27,44,44,27,43,,,,0,,2.32,18,38,10,20,48,46,39,20,51,46,,66,30,68,3,15
59164,"CARESS HOME HEALTH PROVIDERS, INC","22048 SHERMAN WAY, SUITE 306",CANOGA PARK,CA,91303,403,258,17.0,10.7,5.3,0.4,0.1,0.3,0.1,957780,1400922,1199826,0.8,22,9775,77,102,156,129,129,151,,30,61,,,2.45,26,36,9,12,38,49,25,37,46,67,,74,15,52,9,17
59165,"MAGNOLIA HOME HEALTH CARE SERVICES, INC",120 S VICTORY BLVD STE 203,BURBANK,CA,91502,128,88,15.3,8.7,5.6,0.4,0.0,0.7,0.0,239670,479887,393778,4.7,18,5338,73,23,65,,,60,,,15,0,,1.79,9,28,13,3,42,24,28,49,59,,,63,25,,8,2
59166,"VERDUGO HOME HEALTH, INC","4170 VERDUGO ROAD, SUITE C",LOS ANGELES,CA,90065,178,101,18.2,13.0,3.4,0.3,0.1,1.3,0.1,471119,640130,517384,6.2,,,77,41,60,25,76,45,,,38,0,,2.63,17,34,15,23,50,56,33,43,64,68,,71,20,72,5,11
59167,"ACCU - RITE HEALTH SERVICES, INC",163 W ARROW HIGHWAY,GLENDORA,CA,91740,175,113,16.6,11.9,4.3,0.1,0.0,0.2,0.1,397277,612742,508658,4.8,,,77,41,72,60,53,64,,20,25,0,,2.35,15,37,18,12,32,35,21,46,41,65,,50,21,67,17,20
59168,"SUPREME CARE HOME HEALTH, INC","10510 VICTORY BLVD, SUITE 205",N HOLLYWOOD,CA,91606,98,63,18.5,11.1,6.5,0.1,0.0,0.8,0.0,238221,359176,309244,0.0,0,,77,26,37,,,52,,,0,0,,1.66,5,40,11,5,41,14,17,67,70,,,,27,,5,5
59169,ISIS HOME HEALTH CARE,"7728 FOOTHILL BLVD, UNIT B",TUJUNGA,CA,91042,263,213,17.4,9.7,7.3,0.0,0.0,0.3,0.1,598994,1081978,908914,2.5,,,74,100,113,19,194,24,35,,146,0,,2.15,6,27,21,10,52,36,30,34,67,,,,12,,8,8
59170,JEWISH HOME CARE SERVICES,"12509 OXNARD ST, SUITE 215",N HOLLYWOOD,CA,91606,344,198,15.8,11.6,3.6,0.2,0.0,0.5,0.0,795837,1188340,982387,3.9,,,77,84,114,22,176,138,,,31,0,14,1.77,7,41,14,8,43,26,32,53,53,,,,30,,4,4
59171,"MAJESTIC HOME HEALTH CARE, INC","1540 W GLENOAKS BLVD, SUITE 204",GLENDALE,CA,91201,686,243,15.6,10.9,3.7,0.1,0.0,0.8,0.0,1420156,2179456,1814518,3.3,,,76,86,157,14,229,213,,,,,14,1.61,11,42,26,4,42,23,31,63,58,,,73,28,,5,4
59172,"ENVISION HOME HEALTH SERVICES, INC","17725 CRENSHAW BLVD, SUITE 302",TORRANCE,CA,90504,215,91,18.7,14.9,2.6,0.2,0.0,0.5,0.4,833012,686325,540025,8.5,,,70,24,67,,,,75,0,13,0,,2.24,3,22,27,9,45,26,33,36,53,65,,47,10,,9,9
59173,HAPPY HOME HEALTH SERVICES,1010 SOUTH BALDWIN AVE SUITE 202,ARCADIA,CA,91007,964,693,14.3,11.3,1.9,0.3,0.0,0.7,0.1,1908114,3012177,2517899,3.3,68,26221,79,278,415,100,593,82,22,451,128,,,2.36,15,40,16,14,40,51,32,28,63,73,,67,38,65,8,14
59174,"HEALTHY LIFE HOME HEALTH CARE, INC","7136 HASKELL AVE, SUITE 210",VAN NUYS,CA,91406,404,229,16.4,10.8,3.6,0.1,0.1,1.9,0.0,1019126,1326286,1117989,2.1,,,73,101,128,40,189,162,,14,38,0,,1.97,9,41,31,10,38,25,29,60,53,,,66,25,,15,6
59175,GOOD LIFE HOME CARE,"22 LOWER RAGSDALE DRIVE, SUITE B",MONTEREY,CA,93940,470,363,19.3,7.0,7.5,2.1,0.9,0.7,1.1,1824757,2499047,1651143,0.0,21,15360,80,140,223,245,118,256,,15,83,0,,2.30,21,36,10,13,42,43,28,35,44,62,,48,21,51,6,15
59176,"446 SCHOLL HOME HEALTH CARE, INC","14545 FRIAR ST, STE 228",VAN NUYS,CA,91411,316,124,15.1,12.0,3.0,0.0,0.0,0.1,0.0,677122,1117086,908483,5.4,,,71,37,87,,,103,,,,,11,1.37,3,30,19,7,24,10,28,63,55,,,,19,,2,1
59177,"GALAXY HOME HEALTH, INC","14553 DELANO ST, STE 318",VAN NUYS,CA,91411,117,86,19.3,14.9,4.3,0.0,0.0,0.0,0.1,297119,419348,335169,7.7,,,78,30,56,23,63,23,,26,27,0,,1.81,9,24,14,5,49,43,24,21,65,,,71,22,,7,6
59179,"CARE AT HOME, INC","300 ORCHARD CITY DRIVE, SUITE 108",CAMPBELL,CA,95008,49,41,13.6,10.8,1.3,0.7,0.0,0.4,0.3,199719,188133,121652,1.3,14,8508,70,22,19,24,17,24,0,,11,0,,2.65,15,22,7,10,32,41,22,41,56,63,,41,5,32,0,10
59180,PREMIER HOME HEALTH PROVIDERS INC.,"1095 BIRD AVENUE, SUITE 4",SAN JOSE,CA,95125,268,235,15.7,9.3,4.1,1.5,0.1,0.4,0.2,553511,1109340,737825,0.0,14,7381,76,105,130,75,160,101,29,53,42,,,1.79,8,37,17,7,29,38,26,38,46,60,,38,16,62,23,9
59181,"UNIQUE HEALTHCARE, INC","620 WEST ROUTE 66, STE 207",GLENDORA,CA,91740,217,102,15.3,10.5,4.1,0.1,0.0,0.6,0.0,503596,729763,627923,0.1,,,77,29,73,,,82,,,,0,12,1.56,8,38,31,10,41,25,24,60,64,,,,38,,3,2
59182,GRAPEVINE HOME HEALTH SERVICES INC,8350 ARCHIBALD AVENUE SUITE #218,RANCHO CUCAMONGA,CA,91730,163,110,13.3,9.8,3.1,0.1,0.0,0.2,0.1,300397,427527,382432,2.0,15,4275,73,49,61,27,83,27,,,72,0,0,1.46,7,13,15,10,30,21,20,21,49,59,,36,8,55,2,5
59183,"CALIFORNIA HEALTHCARE SERVICES, LLC","13658 HAWTHORNE BLVD, SUITE 200A",HAWTHORNE,CA,90250,284,90,20.7,15.8,0.5,0.0,0.0,4.3,0.0,844205,920911,758116,4.9,,,71,50,40,20,70,14,46,,23,0,,2.18,10,17,22,14,38,41,67,34,52,68,,,12,,4,12
59184,"AMERICAN CARE HOME HEALTH, INC","434 WEST COLORADO ST, STE 100",GLENDALE,CA,91204,392,166,18.0,13.6,2.6,1.0,0.0,0.8,0.0,961897,1414123,1159590,4.8,,,76,59,107,,,140,,,,0,12,1.63,8,45,27,7,61,25,23,,60,,,,46,,6,7
59185,"SIGMA HOME HEALTH CARE, INC","805 EAST BROADWAY, SUITE G",GLENDALE,CA,91205,157,86,14.7,10.4,3.4,0.1,0.0,0.7,0.0,324377,510226,439773,0.2,,,75,37,49,11,75,67,,,,0,,1.81,15,30,10,9,44,24,27,70,64,,,,10,,1,3
59186,"GOODWILL HOME HEALTH SERVICES, INC","22151 VENTURA BLVD, STE 202",WOODLAND HILLS,CA,91367,53,38,15.8,9.9,3.5,0.0,0.0,2.5,0.0,113833,152444,132913,0.0,,,81,19,19,,,20,0,,,0,11,1.79,21,47,11,3,34,34,13,74,53,,,66,34,,8,5
59187,"VALROSE HOME HEALTH, INC","22148 SHERMAN WAY BLVD, SUITE 202",CANOGA PARK,CA,91303,241,131,26.7,19.4,4.4,0.5,0.0,2.4,0.0,865444,977938,738279,8.7,,,81,51,80,98,33,112,,,,0,,2.35,23,40,21,12,59,47,41,34,49,73,,66,26,57,10,11
59188,"HOLISTIC CARE HOME HEALTH AGENCY, INC","10999 RIVERSIDE DRIVE, STE 308",TOLUCA LAKE,CA,91602,678,493,15.9,10.1,4.5,0.2,0.0,0.8,0.3,1508762,2236321,1889073,2.0,23,8688,75,197,296,193,300,172,74,20,222,,,2.37,12,30,11,9,42,42,26,35,58,64,,,14,69,7,10
59189,"BEST CARE HOME HEALTH GROUP, INC","221 EAST GLENOAKS BLVD, SUITE 210",GLENDALE,CA,91207,370,321,18.8,13.6,5.0,0.1,0.0,0.3,0.0,939863,1498715,1202943,6.6,,,74,148,173,23,298,48,,,264,0,,1.56,5,26,9,4,25,18,17,45,66,,,57,17,,2,5
59190,"SUPREME HEALTHCARE, INC.","10200 SEPULVEDA BLVD, SUITE 180",MISSION HILLS,CA,91345,366,221,16.7,10.2,5.8,0.3,0.2,0.1,0.1,732100,1270304,1081748,0.9,17,7597,84,66,155,180,41,182,,,30,0,,2.40,19,60,10,14,50,48,26,41,37,62,,66,25,64,14,14
59191,CARE FOR ALL HEALTH SERVICES INC,"126 S JACKSON ST, SUITE 204",GLENDALE,CA,91205,261,151,18.4,12.7,5.4,0.2,0.0,0.1,0.0,642758,995258,826711,3.7,,,71,67,84,,,67,,,74,0,,1.77,3,21,10,3,27,25,19,45,63,71,,56,16,,2,4
59192,RELIANT HOME HEALTHCARE SERVICES,8880 BENSON AVENUE UNIT 118,MONTCLAIR,CA,91763,138,79,13.0,10.5,2.5,0.0,0.0,0.0,0.0,246706,419022,371642,0.0,,,68,38,41,,,26,33,0,20,0,0,2.07,9,14,53,6,34,37,35,41,59,52,,66,9,,9,9
59193,"PRESTIGIOUS HOME HEALTH, INC","1074 PARK VIEW DR, SUITE 103",COVINA,CA,91724,377,268,19.2,12.8,4.7,0.5,0.1,1.0,0.2,995726,1378297,1136483,4.8,12,4681,77,108,160,90,178,85,,25,149,0,,3.10,16,34,9,8,50,55,26,22,65,70,,64,22,71,9,10
59194,LIFE'S BRIDGE HOME HEALTH CARE,"251 N BRAND BLVD, SUITE 203",GLENDALE,CA,91203,319,189,17.1,12.2,4.5,0.1,0.0,0.3,0.0,732342,1212180,977568,6.5,,,75,55,134,41,148,84,45,15,42,,,2.54,7,44,26,10,48,43,24,40,52,63,,66,22,72,13,7
59195,"CRYSTAL CLEAR HOME HEALTH, INC","1016 E BROADWAY, SUITE 109",GLENDALE,CA,91205,250,114,17.5,12.8,4.0,0.2,0.0,0.5,0.0,605655,856641,711981,3.3,0,,74,43,71,,,97,0,,,0,11,1.71,12,44,35,2,49,21,23,63,50,,,74,33,,7,1
59196,AVEN HOME HEALTH SERVICES,"14044 VENTURA BLVD, SUITE 305",SHERMAN OAKS,CA,91423,146,71,17.9,12.4,3.3,0.4,0.1,1.5,0.2,523818,439308,358960,5.2,,,69,33,38,14,57,13,50,,,0,0,2.56,11,28,25,4,45,39,37,46,59,59,,61,6,69,8,10
59197,COMMUNITY HOME HEALTH CARE SERVICES,1012 E COLORADO ST #270,GLENDALE,CA,91205,464,318,18.7,12.8,3.9,0.4,0.1,1.3,0.2,1312806,1570206,1297822,4.6,36,13191,78,115,203,156,162,191,31,23,63,,,2.13,17,36,20,15,48,43,30,42,46,70,,60,19,71,12,13
59198,"VISITING ANGELS HOME HEALTH SERVICES, INC","3200 WILSHIRE BLVD, STE 311 NORTH TOWER",LOS ANGELES,CA,90010,557,249,19.6,12.9,5.8,0.3,0.0,0.7,0.0,1548691,2253089,1854466,4.5,,,73,100,149,20,229,205,,14,,0,21,1.55,6,30,16,6,36,18,21,57,62,,,,24,,2,4
59199,"ELAN HOME HEALTH, INC","1096 N WESTERN AVE, STE 207",LOS ANGELES,CA,90029,447,178,16.3,11.1,5.0,0.0,0.0,0.2,0.0,1038887,1729453,1451080,2.5,,,73,60,118,,,156,0,,,0,11,1.44,8,26,9,7,36,13,33,49,60,,,70,36,,4,4
59200,"EMC HOME HEALTH PROVIDERS, INC","7851 WALKER STREET, SUITE 101",LA PALMA,CA,90623,282,184,16.1,14.7,1.3,0.1,0.0,0.0,0.0,690323,884556,702151,8.2,,,76,69,115,60,124,43,30,18,88,,,2.53,15,32,11,11,39,46,36,31,58,68,,,11,60,11,10
59201,"OPTIMUM HOME HEALTH, INC","5800 A HANNUM AVE, STE 215",CULVER CITY,CA,90230,33,16,26.8,22.1,2.0,0.5,0.2,1.9,0.1,129352,116955,96031,5.1,,,84,,,,,15,,0,0,0,,2.05,31,75,19,19,50,63,31,,,50,,75,38,,19,6
59202,AFFINITY HOME HEALTH INC,5767 UPLANDER WAY,CULVER CITY,CA,90230,374,152,19.4,14.8,2.9,0.1,0.0,1.6,0.1,973166,1421182,1117865,8.7,,,77,53,99,45,107,76,30,,31,,,2.63,17,38,9,11,44,51,24,45,59,67,,61,24,,11,9
59203,SUNNYDAY HEALTH SERVICE CORPORATION,1045  VALLEY  BLVD SUITE A206,SAN GABRIEL,CA,91776,42,40,14.8,9.2,5.4,0.0,0.2,0.0,0.0,87225,131382,112460,0.6,0,,74,18,22,,,,17,12,,0,0,2.24,18,25,15,15,40,40,33,33,73,,,,25,,0,5
59204,HOLLYWOOD HOME HEALTHCARE,4130 CAHUENGA BLVD STE230,TOLUCA LAKE,CA,91602,294,199,17.9,10.8,5.5,1.4,0.0,0.3,0.0,781999,1140602,970705,5.2,13,2554,73,97,102,19,180,26,,,164,0,0,2.11,6,14,14,3,33,30,17,22,62,64,,65,9,,4,7
59205,"NOHO HOME HEALTH CARE, INC",13746 VICTORY BLVD # 205,VAN NUYS,CA,91401,242,138,15.0,12.6,2.3,0.0,0.0,0.1,0.0,496223,811802,654477,6.3,,,73,56,82,,,84,,,44,0,,1.90,9,36,17,6,35,24,25,46,63,,,,19,,4,5
59206,"ELITE HOME HEALTH, INC",220 S. KENWOOD ST. SUITE 200,GLENDALE,CA,91205,153,95,17.4,12.4,4.5,0.0,0.0,0.6,0.1,383171,592045,468239,8.1,,,72,44,51,,,35,19,16,23,,,1.89,7,34,21,3,29,32,38,43,67,,,61,17,,13,9
59207,"ST ROSE OF LIMA HEALTHCARE PROVIDER, INC","18200 YORBA LINDA BLVD, SUITE 211",YORBA LINDA,CA,92886,120,89,13.8,9.5,3.2,0.3,0.0,0.6,0.2,251284,338506,294173,0.9,20,7236,76,46,43,25,64,32,,13,36,0,,2.50,16,33,16,13,44,53,26,31,61,69,,58,18,52,8,7
59208,"LEVEL HOME HEALTH, INC","22961 TRITON WAY, UNIT B",LAGUNA HILLS,CA,92653,60,38,12.2,8.5,3.1,0.0,0.0,0.5,0.1,111020,169477,148121,0.0,,,75,17,21,,,16,,,13,0,0,2.18,13,34,24,3,39,42,42,32,58,74,,58,13,66,29,3
59209,NEIGHBORHOOD HOME HEALTH CARE,"1650 E WALNUT ST, SUITE A",PASADENA,CA,91106,202,97,20.3,10.8,6.8,1.2,0.0,1.3,0.2,636258,723440,620785,0.9,,,77,23,74,20,77,18,,,70,0,0,2.47,11,38,19,6,37,37,18,32,70,,,63,37,,3,15
59210,"GLOBAL HEALTHCARE SERVICES, LLC","400 12TH STREET, SUITE 25",MODESTO,CA,95354,647,497,17.2,9.0,5.5,1.1,0.5,0.7,0.3,1641974,2358031,1912082,0.4,41,19527,77,197,300,301,196,349,28,39,75,,,2.16,21,33,12,13,43,44,32,35,46,69,,57,13,59,11,14
59211,24-7 QUALITY INFUSION AND HOME HEALTH INC,2659 TOWNSGATE RD STE 132,WESTLAKE VILLAGE,CA,91361,645,233,19.9,14.7,3.0,0.1,0.1,1.9,0.0,1734780,2294996,1843814,6.6,14,6342,76,99,134,82,151,175,21,,20,,,2.66,16,50,12,15,45,41,38,63,55,63,,67,51,58,23,8
59212,"D & B HEALTH CARE PROFESSIONALS BURBANK, INC",2206 WEST MAGNOLIA BLVD,BURBANK,CA,91506,84,57,14.1,9.2,3.9,0.5,0.0,0.5,0.1,178030,271508,233087,0.5,,,71,28,29,24,33,24,11,,16,0,,3.06,21,26,23,11,46,58,33,35,60,67,,68,14,56,14,16
59213,SHAPIRA & STEIN HOME HEALTHCARE AGENCY,"4741 LAUREL CANYON BLVD, SUITE 208",VALLEY VILLAGE,CA,91607,238,88,26.2,19.7,2.1,0.1,0.0,4.2,0.1,857368,882413,694202,8.8,,,82,26,62,13,75,76,,,,0,,2.97,17,52,15,8,69,47,28,56,65,64,,72,24,,9,10
59214,MIRACLE LIFE HOME HEALTH INC,2829 N GLENOAKS BLVD,BURBANK,CA,91504,552,305,19.0,11.9,6.4,0.3,0.0,0.3,0.1,1501253,2318495,1898617,4.8,,,74,108,197,65,240,135,36,21,104,,,2.06,11,36,24,7,37,33,25,44,58,73,,67,22,71,4,7
59216,GRACE HOME HEALTH NURSING SERVICES,6101 CHERRY AVENUE SUITE 206,FONTANA,CA,92336,195,138,13.6,9.3,3.9,0.1,0.0,0.1,0.2,369977,609378,534834,1.3,,,75,61,77,33,105,34,,,90,0,0,2.51,8,22,13,10,35,39,21,35,64,68,,52,21,,5,11
59217,"INFINITY CARE SERVICES, INC","1045 N EL DORADO STREET, SUITE #6",STOCKTON,CA,95201,494,354,28.3,21.6,4.1,0.6,0.2,1.3,0.6,6956751,2067264,1472160,8.1,72,37476,73,162,192,161,193,201,56,24,68,,,2.16,12,33,14,11,37,45,30,46,56,64,,48,10,47,16,13
59218,COMPREHENSIVE CERTIFIED HOME HEALTH SVCS OF CA INC,"1125 S BEVERLY DRIVE, SUITE 425 A",LOS ANGELES,CA,90035,18,14,16.3,11.9,3.3,0.0,0.0,0.7,0.3,40750,53571,44159,4.7,,,73,,,,,,,0,,0,,1.60,0,14,21,7,36,21,50,36,64,36,71,64,14,64,21,7
59219,"HEALTHWAYS HOME HEALTH SERVICES, INC","34 EXECUTIVE PARK, SUITE 212",IRVINE,CA,92614,462,331,19.1,11.8,5.8,0.5,0.2,0.7,0.2,1333662,1640478,1394324,3.0,33,13026,83,98,233,254,77,273,,31,25,0,,2.38,27,40,15,18,45,59,30,44,41,62,,57,31,53,10,16
59220,"PROVIDENT HOME HEALTHCARE, INC",7950 SILVERTON AVE SUITE 114,SAN DIEGO,CA,92126,107,81,14.0,9.9,3.4,0.2,0.0,0.4,0.0,223980,289946,257582,0.4,,,78,57,24,52,29,38,,21,14,,,1.74,21,31,11,4,42,37,31,12,62,52,,57,22,25,6,4
59221,OPTIMA HOME HEALTH SERVICES,"2025 CHICAGO AVENUE, SUITE A-12",RIVERSIDE,CA,92507,200,128,15.9,10.5,3.3,0.2,0.0,1.7,0.2,516559,547643,499483,0.5,14,5330,78,47,81,68,60,75,,13,32,,,1.90,16,50,9,10,38,34,22,40,49,56,,41,17,48,9,12
59222,SUNRISE HOME HEALTH CARE LLC,10840 WARNER AVE SUITE 105,FOUNTAIN VALLEY,CA,92708,294,186,15.4,11.2,3.5,0.2,0.0,0.4,0.1,675961,982618,839481,4.8,25,8971,78,71,115,85,101,88,18,18,59,,,2.32,15,44,18,13,45,47,36,44,49,58,,64,20,55,13,16
59223,"BENEFICIAL HOME HEALTH SERVICES, INC","770 SOUTH BREA BLVD, SUITE #217",BREA,CA,92821,86,60,15.8,10.7,4.4,0.0,0.0,0.5,0.1,188039,269289,221226,5.4,,,73,27,33,15,45,21,,19,13,0,,2.68,7,30,25,8,57,58,43,30,53,70,,62,18,73,22,7
59224,"CAREWELL HOME HEALTH, INC","12630 BROOKHURST ST, SUITE E",GARDEN GROVE,CA,92840,275,153,17.1,11.9,3.7,0.3,0.1,0.6,0.4,650594,863423,745622,1.6,,,78,47,106,40,113,42,,71,37,0,,2.13,8,36,18,9,44,39,31,29,49,65,,71,33,66,10,10
59225,"TUSCANY HILLS HEALTH CARE SERVICES, INC",232 EAST GRAND BLVD  SUITE 104,CORONA,CA,92879,120,75,12.7,9.7,1.8,0.1,0.2,0.8,0.1,207350,337913,293661,0.2,,,74,28,47,14,61,17,,29,22,0,,2.64,12,40,23,4,40,39,51,43,69,72,,63,27,63,31,16
59227,VALLEY HOME HEALTH,"4545 N WEST AVENUE, STE 118A",FRESNO,CA,93705,763,511,16.0,7.5,7.1,0.7,0.6,0.0,0.1,2708903,2735377,2476148,0.1,117,48494,80,181,330,294,217,347,16,,133,,,2.47,18,52,12,12,51,46,27,33,52,60,,60,18,54,8,14
