HHRG,HHRG Description,State,Total Episodes,Distinct Beneficiaries,Average HHA Charge Amount,Average HHA Medicare Payment Amount,Average HHA Medicare Standard Payment Amount
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",OK,300,296,3233,2980,3477
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",OR,158,157,4397,3751,3475
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",PA,726,721,3615,3247,3463
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",PR,90,90,2307,1845,3450
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",RI,80,79,2653,3573,3488
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",SC,201,201,3123,3006,3424
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",SD,47,47,3344,3037,3444
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",TN,207,204,3160,2927,3465
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",TX,1646,1592,3409,3200,3487
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",UT,138,138,3126,3373,3522
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",VA,540,537,2861,3269,3477
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",VT,40,40,3021,3433,3484
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",WA,244,243,3927,3770,3484
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",WI,172,171,3649,3447,3496
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",WV,160,158,3027,2833,3477
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",WY,36,36,3235,3372,3480
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",AK,157,154,2427,2704,2273
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",AL,7168,6673,1674,1799,2255
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",AR,3564,3381,2029,1889,2275
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",AZ,3642,3527,1759,2200,2213
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",CA,46627,41952,1960,2797,2270
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",CO,2240,2179,1712,2246,2259
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",CT,5927,5630,1672,2566,2243
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",DC,239,231,1826,2259,2240
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",DE,1174,1149,1777,2228,2240
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",FL,29796,28488,1722,2085,2252
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",GA,6871,6543,1744,1985,2250
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",HI,99,96,2136,2492,2231
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",IA,2989,2881,1642,2050,2258
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",ID,932,906,1928,2040,2273
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",IL,28265,23030,1738,2254,2253
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",IN,5385,5034,1871,2087,2244
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",KS,2089,1981,1682,1988,2252
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",KY,5755,5373,1730,1941,2253
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",LA,7407,6661,1773,1887,2268
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MA,12374,11713,1985,2522,2257
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MD,5548,5397,1855,2165,2240
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",ME,1949,1874,1794,2134,2262
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MI,13902,13082,1754,2088,2233
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MN,3205,3101,2056,2332,2254
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MO,6009,5789,1754,2014,2242
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MS,5964,5325,1756,1870,2262
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",MT,339,334,1671,2083,2244
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NC,8116,7811,1651,1983,2243
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",ND,448,437,2290,1791,2244
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NE,1417,1364,1821,2140,2248
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NH,2392,2292,1782,2315,2261
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NJ,8962,8700,2141,2466,2247
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NM,1268,1215,1765,2114,2264
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NV,3912,3602,1858,2495,2251
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",NY,18326,17643,2227,2547,2254
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",OH,10261,9580,1853,2085,2267
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",OK,6236,5520,1772,1982,2287
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",OR,1723,1668,2464,2404,2255
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",PA,15991,15245,1999,2130,2245
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",PR,74,71,2693,1282,2314
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",RI,1268,1222,1884,2321,2235
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",SC,4102,3945,1710,1997,2253
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",SD,361,347,1788,1989,2245
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",TN,5245,4921,1744,1862,2244
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",TX,32718,28125,1768,2065,2275
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",UT,1561,1509,1877,2167,2258
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",VA,7200,6945,1734,2049,2237
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",VT,1129,1069,1886,2264,2270
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",WA,2802,2728,2378,2434,2247
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",WI,3135,3021,1947,2251,2279
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",WV,1762,1678,1707,1861,2248
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",WY,250,238,1927,2298,2316
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",AK,64,64,2422,3110,2624
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",AL,856,855,2169,2055,2571
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",AR,447,446,2234,2176,2612
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",AZ,1135,1126,1791,2527,2535
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",CA,6334,6291,2548,3326,2594
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",CO,759,756,1671,2500,2547
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",CT,961,955,2050,2952,2583
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",DC,85,85,2071,2602,2558
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",DE,297,297,2142,2580,2606
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",FL,4005,3983,1965,2329,2558
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",GA,1308,1305,1920,2272,2565
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",HI,49,49,1951,2976,2609
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",IA,455,454,2110,2342,2598
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",ID,266,266,2087,2252,2588
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",IL,3256,3227,2291,2524,2575
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",IN,893,888,2160,2407,2606
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",KS,396,393,1877,2257,2559
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",KY,880,877,1870,2236,2583
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",LA,533,530,2420,2153,2584
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MA,1575,1567,2256,2836,2567
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MD,1873,1863,1985,2501,2580
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",ME,380,377,1907,2432,2594
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MI,2472,2456,2080,2376,2557
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MN,753,747,2174,2662,2583
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MO,1348,1344,2067,2297,2573
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MS,501,498,2337,2138,2597
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",MT,119,118,1769,2394,2595
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NC,2032,2019,1638,2274,2581
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",ND,84,84,2730,2104,2605
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NE,291,290,2095,2418,2570
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NH,448,446,1865,2631,2595
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NJ,2049,2036,2826,2831,2574
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NM,238,237,1944,2451,2618
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NV,471,470,2500,2798,2564
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",NY,3474,3457,2539,2924,2580
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",OH,1700,1693,1959,2344,2575
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",OK,690,683,2101,2225,2580
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",OR,411,410,2592,2793,2601
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",PA,2599,2590,2308,2414,2575
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",RI,218,216,2098,2695,2600
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",SC,930,928,1774,2293,2589
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",SD,96,95,1933,2275,2571
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",TN,706,703,1986,2123,2564
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",TX,2385,2372,2244,2346,2578
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",UT,475,472,1904,2423,2572
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",VA,1707,1701,1917,2380,2557
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",VT,250,250,1829,2539,2580
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",WA,791,788,2482,2813,2587
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",WI,685,681,2017,2542,2601
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",WV,238,236,1988,2139,2570
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",WY,59,59,1870,2591,2642
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",AK,105,105,3182,3548,2967
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",AL,2731,2693,2696,2342,2934
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",AR,1553,1540,2839,2446,2939
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",AZ,2564,2533,2307,2889,2922
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",CA,24680,23506,2810,3637,2952
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",CO,1949,1919,2116,2867,2919
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",CT,2367,2336,2361,3356,2942
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",DC,281,278,2493,2961,2915
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",DE,464,462,2765,2885,2906
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",FL,12748,12592,2354,2649,2915
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",GA,3666,3636,2346,2607,2932
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",HI,82,81,2482,3361,2946
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",IA,1012,1002,2624,2663,2941
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",ID,664,653,2530,2596,2923
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",IL,9472,9272,2794,2893,2938
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",IN,2752,2707,2657,2747,2943
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",KS,1242,1235,2340,2613,2932
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",KY,2850,2813,2332,2513,2922
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",LA,1826,1804,2735,2452,2939
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MA,4772,4718,2665,3243,2934
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MD,4432,4379,2463,2844,2922
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",ME,910,899,2284,2757,2940
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MI,7163,7010,2565,2726,2911
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MN,1777,1760,2668,3050,2935
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MO,3513,3470,2401,2615,2923
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MS,1616,1607,2556,2428,2943
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",MT,303,302,2165,2719,2939
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NC,6388,6312,2100,2574,2930
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",ND,177,177,3170,2369,2972
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NE,753,746,2444,2774,2927
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NH,1166,1145,2204,2982,2929
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NJ,4301,4260,3228,3249,2932
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NM,640,627,2454,2789,2964
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NV,1741,1704,2884,3251,2946
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",NY,8199,8113,3113,3348,2944
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",OH,4850,4797,2439,2673,2934
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",OK,1992,1960,2692,2535,2956
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",OR,977,962,3113,3164,2946
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",PA,6297,6215,2793,2747,2926
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",PR,57,57,1777,1562,2965
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",RI,572,569,2453,3014,2919
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",SC,3059,3022,2150,2577,2934
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",SD,259,259,2430,2551,2907
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",TN,2468,2435,2445,2428,2920
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",TX,8523,8394,2753,2673,2939
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",UT,1491,1460,2294,2749,2923
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",VA,5072,5017,2340,2698,2919
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",VT,564,558,2251,2897,2945
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",WA,1879,1862,2985,3186,2940
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",WI,1551,1530,2583,2903,2956
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",WV,803,797,2383,2426,2937
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",WY,163,161,2240,2849,2936
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",AK,18,18,3234,3928,3311
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",AL,701,698,3026,2607,3278
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",AR,464,462,3044,2767,3302
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",AZ,597,594,2821,3220,3262
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",CA,5044,4954,3746,4101,3310
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",CO,494,492,2605,3206,3276
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",CT,697,694,2760,3764,3290
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",DC,55,54,3124,3327,3272
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",DE,99,99,3316,3268,3273
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",FL,4223,4195,2735,2987,3269
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",GA,1041,1039,2728,2890,3274
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",HI,28,28,3480,3699,3269
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",IA,233,233,2992,2972,3285
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",ID,179,179,3145,2918,3282
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",IL,3098,3027,3282,3270,3284
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",IN,827,824,3045,3087,3286
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",KS,354,353,2728,2919,3289
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",KY,722,721,2721,2808,3280
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",LA,569,567,3220,2743,3291
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",MA,1217,1214,2997,3632,3286
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",MD,1051,1045,3046,3208,3288
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",ME,229,229,2959,3078,3293
